GEOID,NAME,total_pop,med_income
08095,"Phillips County, Colorado",4290,51155
08007,"Archuleta County, Colorado",13253,52221
08031,"Denver County, Colorado",705576,68592
08061,"Kiowa County, Colorado",1489,41731
08055,"Huerfano County, Colorado",6679,38137
08009,"Baca County, Colorado",3561,35878
08047,"Gilpin County, Colorado",6018,76429
08063,"Kit Carson County, Colorado",7447,49349
08051,"Gunnison County, Colorado",16802,56577
08079,"Mineral County, Colorado",824,62188
08091,"Ouray County, Colorado",4796,66417
08115,"Sedgwick County, Colorado",2322,43150
08123,"Weld County, Colorado",305345,74150
08027,"Custer County, Colorado",4776,53119
08023,"Costilla County, Colorado",3745,30965
08035,"Douglas County, Colorado",336041,119730
08065,"Lake County, Colorado",7751,50565
08067,"La Plata County, Colorado",55617,68685
08097,"Pitkin County, Colorado",17926,78935
08105,"Rio Grande County, Colorado",11305,39123
08011,"Bent County, Colorado",5787,30900
08025,"Crowley County, Colorado",5754,42135
08111,"San Juan County, Colorado",589,54625
08069,"Larimer County, Colorado",344786,71881
08075,"Logan County, Colorado",22380,53318
08113,"San Miguel County, Colorado",8049,67038
08119,"Teller County, Colorado",24524,66592
08039,"Elbert County, Colorado",25717,99199
08071,"Las Animas County, Colorado",14266,41817
08073,"Lincoln County, Colorado",5585,47258
08117,"Summit County, Colorado",30649,79277
08003,"Alamosa County, Colorado",16107,37515
08029,"Delta County, Colorado",30565,45269
08043,"Fremont County, Colorado",47321,49409
08085,"Montrose County, Colorado",41686,50489
08087,"Morgan County, Colorado",28517,53682
08109,"Saguache County, Colorado",6592,38571
08099,"Prowers County, Colorado",12022,41929
08121,"Washington County, Colorado",4868,50094
08049,"Grand County, Colorado",15303,71198
08089,"Otero County, Colorado",18282,38169
08014,"Broomfield County, Colorado",67886,96416
08053,"Hinsdale County, Colorado",857,56339
08033,"Dolores County, Colorado",1857,45972
08057,"Jackson County, Colorado",1261,53300
08083,"Montezuma County, Colorado",26031,49470
08013,"Boulder County, Colorado",322510,83019
08125,"Yuma County, Colorado",10003,52022
08107,"Routt County, Colorado",25072,77443
08019,"Clear Creek County, Colorado",9495,67060
08101,"Pueblo County, Colorado",165982,46783
08093,"Park County, Colorado",17867,73622
08077,"Mesa County, Colorado",151218,55379
08041,"El Paso County, Colorado",698974,68779
08005,"Arapahoe County, Colorado",644560,77469
08015,"Chaffee County, Colorado",19557,55771
08045,"Garfield County, Colorado",59055,75937
08059,"Jefferson County, Colorado",574798,82986
08103,"Rio Blanco County, Colorado",6384,54357
08021,"Conejos County, Colorado",8128,36084
08001,"Adams County, Colorado",504108,71202
08037,"Eagle County, Colorado",54681,84790
08081,"Moffat County, Colorado",13127,57229
08017,"Cheyenne County, Colorado",2026,53977
